tWeight,AUC
0.743,0.624098022025708
0.744,0.624088492798837
0.742,0.624064303222931
0.745,0.624064303222931
0.746,0.624054773996059
0.749,0.624054773996059
0.748,0.624039380629574
0.741,0.624037914594671
0.747,0.624037914594671
0.75,0.62402472028054
0.751,0.6240071278617
0.74,0.623997232126102
0.755,0.623973042550197
0.752,0.623972676041471
0.754,0.623970476989116
0.739,0.623969743971664
0.756,0.623944821378307
0.753,0.623942255817227
0.738,0.623940056764871
0.733,0.623930161029274
0.757,0.623917699732595
0.737,0.623903039383562
0.732,0.62390230636611
0.735,0.623892410630512
0.73,0.623887646017076
0.731,0.623886912999625
0.758,0.623886179982173
0.736,0.623881415368737
0.734,0.623873718685494
0.729,0.623864922476074
0.759,0.623834135743104
0.728,0.623818742376618
0.725,0.623785390082567
0.76,0.623780991977857
0.724,0.623764132576468
0.727,0.623760100980484
0.726,0.623756435893226
0.761,0.62373664442203
0.723,0.623726015668981
0.722,0.623708056741415
0.762,0.623697794497091
0.721,0.623683134148058
0.72,0.623651980906361
0.763,0.623649415345281
0.719,0.62361862861231
0.718,0.623590773949146
0.764,0.623587108861888
0.765,0.623576846617564
0.717,0.623556322128917
0.713,0.623551191006755
0.714,0.623543860832239
0.716,0.623536530657722
0.715,0.623523336343592
0.766,0.623516739186527
0.712,0.623497314224057
0.71,0.62348118784012
0.711,0.623469826069619
0.767,0.623462495895102
0.709,0.623454432703134
0.708,0.623427311057422
0.768,0.623388461132483
0.707,0.623367203626384
0.769,0.623350344224995
0.706,0.623329819736348
0.77,0.623314792878589
0.771,0.623303431108088
0.772,0.623300865547007
0.705,0.623288404250328
0.773,0.623272644375117
0.703,0.623264581183149
0.704,0.623244789711954
0.702,0.623233794450178
0.774,0.623215469013886
0.701,0.623158293652655
0.775,0.623155361582849
0.7,0.623132271533121
0.776,0.623131172006943
0.699,0.623121642780071
0.698,0.623085724924939
0.777,0.623056404226872
0.697,0.623052006122162
0.696,0.623026350511353
0.778,0.623010957144868
0.695,0.623010224127416
0.694,0.622993364726027
0.693,0.622973573254832
0.779,0.622972107219929
0.78,0.622921162507037
0.692,0.622906868666729
0.781,0.622900271509664
0.782,0.622879014003565
0.691,0.62285482442766
0.69,0.622811942906737
0.783,0.622796916048977
0.689,0.622779323630137
0.784,0.622747803879715
0.688,0.622744505301182
0.687,0.622709686972227
0.785,0.622708953954776
0.686,0.62266277385532
0.685,0.622633086648527
0.786,0.622623923930381
0.787,0.622599734354475
0.684,0.622591671162507
0.683,0.622524966574404
0.788,0.622522034504598
0.682,0.622482451562207
0.789,0.622458995003753
0.681,0.622456795951398
0.68,0.622456062933946
0.79,0.622377630066617
0.679,0.622368100839745
0.678,0.622321187722837
0.791,0.622312391513417
0.792,0.622308726426159
0.677,0.622272808571027
0.676,0.622232492611184
0.793,0.622230293558829
0.675,0.622210502087634
0.794,0.622135734307562
0.674,0.622134268272659
0.673,0.622110078696754
0.795,0.622078558946331
0.672,0.622051437300619
0.671,0.622022116602552
0.796,0.622010388323325
0.67,0.621975936503096
0.669,0.621930489421092
0.797,0.621909964932445
0.666,0.621849857501407
0.668,0.62184875797523
0.667,0.621843993361794
0.798,0.621791216105273
0.665,0.621783152913305
0.799,0.621721579447364
0.664,0.621712783237943
0.8,0.621676498874085
0.663,0.621671001243198
0.662,0.621594767428223
0.801,0.621587437253706
0.661,0.621547121293864
0.66,0.621522198700507
0.802,0.621503140246763
0.659,0.621462091269469
0.803,0.621447430920435
0.658,0.621419576257272
0.657,0.621357269773879
0.804,0.621337111793958
0.656,0.621333080197973
0.655,0.621264176557516
0.805,0.621240719999062
0.654,0.621198204986864
0.653,0.621166685236442
0.806,0.621138830573278
0.652,0.621112441945018
0.651,0.621044271322012
0.65,0.621037674164946
0.807,0.621031810025333
0.649,0.620964372419779
0.808,0.620942015387502
0.648,0.620917459302871
0.809,0.620891070674611
0.647,0.620874211273222
0.81,0.62086028394164
0.646,0.620847822644962
0.645,0.620836460874461
0.644,0.620811171772378
0.811,0.620797977458247
0.643,0.620745933219178
0.642,0.620713680451304
0.812,0.620679228631075
0.641,0.620645509828298
0.813,0.620608858955714
0.64,0.620581737310002
0.639,0.620532625140739
0.638,0.620494508233252
0.814,0.620486445041284
0.637,0.620423405540439
0.636,0.620353035865078
0.815,0.620349370777819
0.635,0.620306855765622
0.816,0.620306855765622
0.634,0.620300991626009
0.633,0.620248214369488
0.632,0.620222192249953
0.817,0.62019690314787
0.631,0.620172713571965
0.63,0.620129465542316
0.818,0.620099411826797
0.629,0.620069358111278
0.628,0.620037105343404
0.819,0.620020978959467
0.627,0.619973332825108
0.626,0.61990882728936
0.625,0.6198824386611
0.82,0.619869244346969
0.624,0.619855317015388
0.623,0.61983039442203
0.622,0.619798141654156
0.621,0.619777617165509
0.62,0.619744264871458
0.821,0.619738034223119
0.619,0.619728504996247
0.618,0.619702116367986
0.617,0.619655936268531
0.822,0.619596561854945
0.616,0.619572005770313
0.615,0.619517029461437
0.823,0.619483677167386
0.614,0.619449225347157
0.824,0.619422470210171
0.613,0.619419171631638
0.612,0.619369326444924
0.611,0.619337806694502
0.825,0.619325345397823
0.61,0.619274034176206
0.609,0.619209528640458
0.826,0.619197067343779
0.608,0.61919523480015
0.607,0.61911863447645
0.606,0.619060726097767
0.827,0.619050463853443
0.605,0.6190314053997
0.604,0.618982293230437
0.828,0.618966899863952
0.603,0.618914122607431
0.829,0.618862078368362
0.602,0.618860612333458
0.601,0.618804903007131
0.6,0.618759089416401
0.83,0.618722805052543
0.599,0.618705212633702
0.598,0.618667828743667
0.831,0.618606988295177
0.597,0.618590128893789
0.596,0.618528921936573
0.595,0.618464782909552
0.832,0.618462583857196
0.594,0.618395146251642
0.593,0.618361427448865
0.833,0.618355563309251
0.592,0.618339070416589
0.591,0.618305718122537
0.59,0.618239746551886
0.589,0.618214823958529
0.834,0.61818916834772
0.588,0.618168643859073
0.587,0.618131992986489
0.835,0.61808874495684
0.586,0.618079215729968
0.585,0.618009579072059
0.584,0.617963398972603
0.836,0.617939575905423
0.583,0.617915752838244
0.582,0.617847582215237
0.837,0.617786741766748
0.581,0.617780144609683
0.58,0.617721503213548
0.838,0.617689983463126
0.579,0.617685585358416
0.578,0.617646735433477
0.577,0.617597623264215
0.576,0.617523588501595
0.839,0.617520656431788
0.575,0.617457616930944
0.84,0.61740154109589
0.574,0.617377718028711
0.573,0.61730734835335
0.572,0.617239910747795
0.841,0.61723331359073
0.571,0.617173939177144
0.57,0.617099904414524
0.842,0.617076447856071
0.569,0.617056656384875
0.568,0.617001313567273
0.843,0.616959898081254
0.567,0.616931310400638
0.566,0.616854343568212
0.565,0.616789471523738
0.564,0.616773711648527
0.563,0.616739259828298
0.844,0.616730463618878
0.562,0.616679885414712
0.561,0.616601452547382
0.845,0.616584593145994
0.56,0.61655234037812
0.559,0.616502495191406
0.846,0.616476106563145
0.558,0.616470975440983
0.557,0.616421130254269
0.556,0.616380814294427
0.555,0.616341231352036
0.847,0.61630824556671
0.554,0.616270861676675
0.553,0.61620342407112
0.848,0.616191329283168
0.552,0.61617263733815
0.551,0.616113262924564
0.55,0.616054621528429
0.549,0.616005509359167
0.849,0.616004776341715
0.548,0.61591534821261
0.547,0.615881629409833
0.546,0.615820788961344
0.85,0.615780473001501
0.545,0.615768744722274
0.544,0.615701673625446
0.543,0.615649262877651
0.851,0.615603815795646
0.542,0.615583291306999
0.541,0.615547373451867
0.54,0.615516220210171
0.539,0.615490931108088
0.852,0.615471139636892
0.538,0.615435954799212
0.537,0.615336264425783
0.853,0.615305477692813
0.536,0.615289351308876
0.535,0.615242438191968
0.534,0.615194792057609
0.854,0.615155209115219
0.533,0.615122956347345
0.532,0.6150599168465
0.531,0.615009338642334
0.53,0.614971954752299
0.855,0.614923575600488
0.529,0.614918444478326
0.528,0.614833780962657
0.856,0.614818754104898
0.527,0.614795297546444
0.526,0.614760845726215
0.525,0.614694874155564
0.524,0.614645761986301
0.857,0.614624504480203
0.523,0.614564397049165
0.522,0.614515284879902
0.521,0.614464706675736
0.858,0.6144485802918
0.52,0.614407531314506
0.519,0.614367215354663
0.518,0.614270457051041
0.859,0.614222077899231
0.517,0.614211082637455
0.516,0.614156472837305
0.515,0.614124586578157
0.86,0.614076573935072
0.514,0.614072542339088
0.513,0.614030027326891
0.512,0.613937667127979
0.861,0.61392960393601
0.511,0.613896618150685
0.51,0.613847505981422
0.509,0.61378959760274
0.508,0.613728024136799
0.862,0.613718494909927
0.507,0.613671581793019
0.506,0.613611474361982
0.505,0.613565660771252
0.504,0.613528643389942
0.863,0.613497856656971
0.503,0.613487594412648
0.502,0.613436649699756
0.501,0.613399632318446
0.5,0.613364813989491
0.499,0.613328529625633
0.498,0.613264024089886
0.864,0.613254128354288
0.497,0.613201717606493
0.496,0.613128782370051
0.865,0.613108990898855
0.495,0.613076371622256
0.494,0.61306537636048
0.493,0.613003802894539
0.866,0.612975948231375
0.492,0.612950292620567
0.491,0.61292537002721
0.49,0.612866728631075
0.489,0.612809553269844
0.867,0.612769237310002
0.488,0.61275970808313
0.487,0.612714261001126
